"Privacy Settings","Datenschutz Einstellungen"
"Information","Information"
"Export your personal data","Persönliche Daten exportieren"
"Export my data","Meine Daten exportieren"
"Account deletion","Konto löschen"
"Attention!","Achtung!"
"Your account will be deleted soon. You can undo this action.","Ihr Konto wird demnächst gelöscht. Sie haben die Möglichkeit dies rückgängig zu machen."
"Undo deletion","Löschung rückgängig machen"
"Delete my account","Mein Konto löschen"
"Delete Account","Konto löschen"
"Password","Passwort"
"Reason","Grund"
"Delete my account","Mein Konto löschen"
"Cookie Policy","Cookie-Richtlinie"
"Click here to learn about cookies","Klicken Sie hier, um mehr über Cookies zu erfahren"
"Agree","Zustimmen"
