"Privacy Settings","Privacy Instellingen"
"Information","Informatie"
"Export your personal data","Exporteer jouw persoonlijke gegevens"
"Export my data","Exporteer mijn gegevens"
"Account deletion","Account verwijderen"
"Attention!","Opgelet!"
"Your account will be deleted soon. You can undo this action.","Jouw account staat op het punt verwijderd te worden. Je kunt deze actie nu nog ongedaan maken."
"Undo deletion","Verwijderen Annuleren"
"Delete my account","Verwijder mijn account"
"Delete Account","Verwijder Account"
"Password","Wachtwoord"
"Reason","Reden"
"Delete my account","Verwijder mijn account"
"Cookie Policy","Cookie Beleid"
"Click here to learn about cookies","Klik hier voor meer informatie over ons cookie beleid"
"Agree","Akkoord"
